
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1754,FFFFF926,0.00000
3,1,32.03203,-1753,FFFFF927,1404.41149
5,2,64.06406,-1753,FFFFF927,1396.12292
7,3,96.09609,-1758,FFFFF922,266.02069
9,4,128.12812,-1757,FFFFF923,889.11474
11,5,160.16015,-1757,FFFFF923,307.37020
13,6,192.19219,-1756,FFFFF924,372.06735
15,7,224.22422,-1756,FFFFF924,7292.32812
17,8,256.25625,-1756,FFFFF924,1648.74377
19,9,288.28829,-1756,FFFFF924,1219.55395
21,10,320.32031,-1754,FFFFF926,1187.71716
23,11,352.35235,-1753,FFFFF927,1011.46789
25,12,384.38439,-1753,FFFFF927,1014.21850
27,13,416.41641,-1753,FFFFF927,947.90246
29,14,448.44845,-1753,FFFFF927,824.66143
31,15,480.48046,-1753,FFFFF927,932.94769
33,16,512.51251,-1752,FFFFF928,1037.77587
35,17,544.54455,-1752,FFFFF928,918.38946
37,18,576.57659,-1751,FFFFF929,949.25097
39,19,608.60858,-1750,FFFFF92A,979.48413
41,20,640.64062,-1750,FFFFF92A,848.71850
43,21,672.67266,-1749,FFFFF92B,1005.25018
45,22,704.70471,-1749,FFFFF92B,1007.39581
47,23,736.73675,-1748,FFFFF92C,880.68200
49,24,768.76879,-1746,FFFFF92E,917.68786
51,25,800.80078,-1745,FFFFF92F,926.65197
53,26,832.83282,-1745,FFFFF92F,870.75939
55,27,864.86486,-1745,FFFFF92F,883.11621
57,28,896.89691,-1745,FFFFF92F,881.06439
59,29,928.92895,-1744,FFFFF930,845.47991
61,30,960.96093,-1744,FFFFF930,840.22558
63,31,992.99298,-1743,FFFFF931,845.79815
65,32,1025.02502,-1742,FFFFF932,857.42016
67,33,1057.05700,-1742,FFFFF932,890.28967
69,34,1089.08911,-1743,FFFFF931,847.52801
71,35,1121.12109,-1742,FFFFF932,868.08117
73,36,1153.15319,-1740,FFFFF934,924.70141
75,37,1185.18518,-1739,FFFFF935,808.42987
77,38,1217.21716,-1739,FFFFF935,917.78039
