6,FFFFF7C6,,,
1833,-144392192,F764C000,-2204,FFFFF764
1835,-149110784,F71CC000,-2276,FFFFF71C
1837,-152780800,F6E4C000,-2332,FFFFF6E4
1839,-155648000,F6B90000,-2375,FFFFF6B9
1841,-157679616,F69A0000,-2406,FFFFF69A
1843,-143015936,F779C000,-2183,FFFFF779
1845,-138215424,F7C30000,-2109,FFFFF7C3
1847,-132661248,F817C000,-2025,FFFFF817
1849,-125108224,F88B0000,-1909,FFFFF88B
1851,-115900416,F9178000,-1769,FFFFF917
1853,-106430464,F9A80000,-1624,FFFFF9A8
1855,-97894400,FA2A4000,-1494,FFFFFA2A
1857,-90800128,FA968000,-1386,FFFFFA96
1859,-84852736,FAF14000,-1295,FFFFFAF1
1861,-69730304,FBD80000,-1064,FFFFFBD8
1863,-72384512,FBAF8000,-1105,FFFFFBAF
1865,-77021184,FB68C000,-1176,FFFFFB68
1867,-82722816,FB11C000,-1263,FFFFFB11
1869,-88408064,FABB0000,-1349,FFFFFABB
1871,-94224384,FA624000,-1438,FFFFFA62
1873,-101466112,F9F3C000,-1549,FFFFF9F3
1875,-110149632,F96F4000,-1681,FFFFF96F
1877,-120045568,F8D84000,-1832,FFFFF8D8
1879,-151175168,F6FD4000,-2307,FFFFF6FD
1881,-154124288,F6D04000,-2352,FFFFF6D0
1883,-156794880,F6A78000,-2393,FFFFF6A7
1885,-158203904,F6920000,-2414,FFFFF692
1887,-156975104,F6A4C000,-2396,FFFFF6A4
1889,-153305088,F6DCC000,-2340,FFFFF6DC
1891,-148029440,F72D4000,-2259,FFFFF72D
1893,-142671872,F77F0000,-2177,FFFFF77F
1895,-137936896,F7C74000,-2105,FFFFF7C7
1897,-101924864,F9ECC000,-1556,FFFFF9EC
1899,-94044160,FA650000,-1435,FFFFFA65
1901,-87588864,FAC78000,-1337,FFFFFAC7
1903,-82083840,FB1B8000,-1253,FFFFFB1B
1905,-77119488,FB674000,-1177,FFFFFB67
1907,-72925184,FBA74000,-1113,FFFFFBA7
1909,-70402048,FBCDC000,-1075,FFFFFBCD
1911,-70336512,FBCEC000,-1074,FFFFFBCE
1913,-72712192,FBAA8000,-1110,FFFFFBAA
1915,-77021184,FB68C000,-1176,FFFFFB68
1917,-105824256,F9B14000,-1615,FFFFF9B1
1919,-115179520,F9228000,-1758,FFFFF922
1921,-124846080,F88F0000,-1905,FFFFF88F
1923,-133922816,F8048000,-2044,FFFFF804
1925,-141213696,F7954000,-2155,FFFFF795
1927,-146718720,F7414000,-2239,FFFFF741
1929,-150732800,F7040000,-2300,FFFFF704
1931,-153845760,F6D48000,-2348,FFFFF6D4
1933,-156663808,F6A98000,-2391,FFFFF6A9
1935,-145735680,F7504000,-2224,FFFFF750
1937,-140591104,F79EC000,-2146,FFFFF79E
1939,-135708672,F7E94000,-2071,FFFFF7E9
1941,-129515520,F847C000,-1977,FFFFF847
1943,-121438208,F8C30000,-1853,FFFFF8C3
1945,-111935488,F9540000,-1708,FFFFF954
1947,-102432768,F9E50000,-1563,FFFFF9E5
1949,-94355456,FA604000,-1440,FFFFFA60
1951,-88096768,FABFC000,-1345,FFFFFABF
1953,-69500928,FBDB8000,-1061,FFFFFBDB
1955,-70844416,FBC70000,-1081,FFFFFBC7
1957,-74465280,FB8FC000,-1137,FFFFFB8F
1959,-79478784,FB434000,-1213,FFFFFB43
1961,-84967424,FAEF8000,-1297,FFFFFAEF
1963,-90750976,FA974000,-1385,FFFFFA97
1965,-97337344,FA32C000,-1486,FFFFFA32
1967,-105250816,F9BA0000,-1606,FFFFF9BA
1969,-114589696,F92B8000,-1749,FFFFF92B
1971,-149405696,F7184000,-2280,FFFFF718
1973,-153059328,F6E08000,-2336,FFFFF6E0
1975,-155975680,F6B40000,-2380,FFFFF6B4
1977,-158089216,F693C000,-2413,FFFFF693
1979,-158138368,F6930000,-2413,FFFFF693
1981,-155566080,F6BA4000,-2374,FFFFF6BA
1983,-151093248,F6FE8000,-2306,FFFFF6FE
1985,-145833984,F74EC000,-2226,FFFFF74E
1987,-140754944,F79C4000,-2148,FFFFF79C
1989,-106201088,F9AB8000,-1621,FFFFF9AB
1991,-97566720,FA2F4000,-1489,FFFFFA2F
1993,-90669056,FA988000,-1384,FFFFFA98
1995,-84934656,FAF00000,-1296,FFFFFAF0
1997,-79904768,FB3CC000,-1220,FFFFFB3C
1999,-75218944,FB844000,-1148,FFFFFB84
1,-159088640,F6848000,-2428,FFFFF684
3,-156893184,F6A60000,-2394,FFFFF6A6
5,-152223744,F6ED4000,-2323,FFFFF6ED
7,-146259968,F7484000,-2232,FFFFF748
9,-116162560,F9138000,-1773,FFFFF913
11,-106315776,F9A9C000,-1623,FFFFF9A9
13,-97075200,FA36C000,-1482,FFFFFA36
15,-89440256,FAAB4000,-1365,FFFFFAAB
17,-83656704,FB038000,-1277,FFFFFB03
19,-78888960,FB4C4000,-1204,FFFFFB4C
21,-74498048,FB8F4000,-1137,FFFFFB8F
23,-70795264,FBC7C000,-1081,FFFFFBC7
25,-68894720,FBE4C000,-1052,FFFFFBE4
27,-69861376,FBD60000,-1066,FFFFFBD6
29,-94912512,FA57C000,-1449,FFFFFA57
31,-102072320,F9EA8000,-1558,FFFFF9EA
33,-110346240,F96C4000,-1684,FFFFF96C
35,-120160256,F8D68000,-1834,FFFFF8D6
37,-130154496,F83E0000,-1986,FFFFF83E
39,-139001856,F7B70000,-2121,FFFFF7B7
41,-146096128,F74AC000,-2230,FFFFF74A
43,-150847488,F7024000,-2302,FFFFF702
45,-153976832,F6D28000,-2350,FFFFF6D2
47,-156631040,F6AA0000,-2390,FFFFF6AA
49,-148488192,F7264000,-2266,FFFFF726
51,-142458880,F7824000,-2174,FFFFF782
53,-136757248,F7D94000,-2087,FFFFF7D9
55,-131137536,F82F0000,-2001,FFFFF82F
57,-124354560,F8968000,-1898,FFFFF896
59,-115949568,F916C000,-1770,FFFFF916
61,-106479616,F9A74000,-1625,FFFFF9A7
63,-97189888,FA350000,-1483,FFFFFA35
65,-89456640,FAAB0000,-1365,FFFFFAAB
67,-70090752,FBD28000,-1070,FFFFFBD2
69,-69697536,FBD88000,-1064,FFFFFBD8
71,-71942144,FBB64000,-1098,FFFFFBB6
73,-76562432,FB6FC000,-1169,FFFFFB6F
75,-82395136,FB16C000,-1258,FFFFFB16
77,-88670208,FAB70000,-1353,FFFFFAB7
79,-95059968,FA558000,-1451,FFFFFA55
81,-102072320,F9EA8000,-1558,FFFFF9EA
83,-110428160,F96B0000,-1685,FFFFF96B
