0,20007C90,536902800, 1F240000,522452992,2
1,0,0,0,0,0
2,A0007C8E,-1610580850, 1F238000,522420224, 0000000A
3,0,0,0,0,0
4,60007C90,1610644624, 1F240000,522452992,6
5,0,0,0,0,0
6,C0007C92,-1073709934, 1F248000,522485760, 0000000C
7,0,0,0,0,0
8,A0007C94,-1610580844, 1F250000,522518528, 0000000A
9,0,0,0,0,0
10,60007C96,1610644630, 1F258000,522551296,6
11,0,0,0,0,0
12,C0007C92,-1073709934, 1F248000,522485760, 0000000C
13,0,0,0,0,0
14,20007C8F,536902799, 1F23C000,522436608,2
15,0,0,0,0,0
16,20007C8A,536902794, 1F228000,522354688,2
17,0,0,0,0,0
18,00007C88,31880, 1F220000,522321920,0
19,0,0,0,0,0
20,E0007C92,-536839022, 1F248000,522485760, 0000000E
21,0,0,0,0,0
22,60007C92,1610644626, 1F248000,522485760,6
23,0,0,0,0,0
24,A0007C8E,-1610580850, 1F238000,522420224, 0000000A
25,0,0,0,0,0
26,00007C8A,31882, 1F228000,522354688,0
27,0,0,0,0,0
28,80007C8B,-2147451765, 1F22C000,522371072,8
29,0,0,0,0,0
30,80007C8A,-2147451766, 1F228000,522354688,8
31,0,0,0,0,0
32,00007C8A,31882, 1F228000,522354688,0
33,0,0,0,0,0
34,20007C89,536902793, 1F224000,522338304,2
35,0,0,0,0,0
36,A0007C92,-1610580846, 1F248000,522485760, 0000000A
37,0,0,0,0,0
38,00007C92,31890, 1F248000,522485760,0
39,0,0,0,0,0
40,A0007C8F,-1610580849, 1F23C000,522436608, 0000000A
41,0,0,0,0,0
42,E0007C8D,-536839027, 1F234000,522403840, 0000000E
43,0,0,0,0,0
44,E0007C94,-536839020, 1F250000,522518528, 0000000E
45,0,0,0,0,0
46,00007C92,31890, 1F248000,522485760,0
47,0,0,0,0,0
48,C0007C8F,-1073709937, 1F23C000,522436608, 0000000C
49,0,0,0,0,0
50,40007C8E,1073773710, 1F238000,522420224,4
51,0,0,0,0,0
52,80007C91,-2147451759, 1F244000,522469376,8
53,0,0,0,0,0
54,C0007C93,-1073709933, 1F24C000,522502144, 0000000C
55,0,0,0,0,0
56,80007C95,-2147451755, 1F254000,522534912,8
57,0,0,0,0,0
58,C0007C95,-1073709931, 1F254000,522534912, 0000000C
59,0,0,0,0,0
60,60007C8F,1610644623, 1F23C000,522436608,6
61,0,0,0,0,0
62,80007C8F,-2147451761, 1F23C000,522436608,8
63,0,0,0,0,0
