
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1673,FFFFF977,0.00000
3,1,32.03203,-1677,FFFFF973,5415014.50000
5,2,64.06406,-1681,FFFFF96F,10830029.00000
7,3,96.09609,-1799,FFFFF8F9,16245038.00000
9,4,128.12812,-1800,FFFFF8F8,21660058.00000
11,5,160.16015,-1801,FFFFF8F7,27075062.00000
13,6,192.19219,-1801,FFFFF8F7,32490076.00000
15,7,224.22422,-1802,FFFFF8F6,37905116.00000
17,8,256.25625,-1801,FFFFF8F7,43320116.00000
19,9,288.28829,-1799,FFFFF8F9,48735108.00000
21,10,320.32031,-1797,FFFFF8FB,54150124.00000
23,11,352.35235,-1794,FFFFF8FE,59565196.00000
25,12,384.38439,-1792,FFFFF900,64980152.00000
27,13,416.41641,-1789,FFFFF903,70395176.00000
29,14,448.44845,-1786,FFFFF906,75810232.00000
31,15,480.48046,-1782,FFFFF90A,81225208.00000
33,16,512.51251,-1777,FFFFF90F,86640232.00000
35,17,544.54455,-1773,FFFFF913,92055216.00000
37,18,576.57659,-1767,FFFFF919,97470216.00000
39,19,608.60858,-1762,FFFFF91E,102885264.00000
41,20,640.64062,-1756,FFFFF924,108300248.00000
43,21,672.67266,-1750,FFFFF92A,113715248.00000
45,22,704.70471,-1742,FFFFF932,119130392.00000
47,23,736.73675,-1737,FFFFF937,124545240.00000
49,24,768.76879,-1732,FFFFF93C,129960304.00000
51,25,800.80078,-1726,FFFFF942,135375344.00000
53,26,832.83282,-1720,FFFFF948,140790352.00000
55,27,864.86486,-1715,FFFFF94D,146205392.00000
57,28,896.89691,-1711,FFFFF951,151620464.00000
59,29,928.92895,-1707,FFFFF955,157035312.00000
61,30,960.96093,-1701,FFFFF95B,162450416.00000
63,31,992.99298,-1695,FFFFF961,167865344.00000
65,32,1025.02502,-1691,FFFFF965,173280464.00000
67,33,1057.05700,-1687,FFFFF969,178695504.00000
69,34,1089.08911,-1683,FFFFF96D,184110432.00000
71,35,1121.12109,-1680,FFFFF970,189525440.00000
73,36,1153.15319,-1679,FFFFF971,194940432.00000
75,37,1185.18518,-1677,FFFFF973,200355600.00000
77,38,1217.21716,-1675,FFFFF975,205770528.00000
79,39,1249.24926,-1674,FFFFF976,211185584.00000
81,40,1281.28125,-1672,FFFFF978,216600496.00000
83,41,1313.31335,-1672,FFFFF978,222015568.00000
85,42,1345.34533,-1672,FFFFF978,227430496.00000
87,43,1377.37731,-1671,FFFFF979,232845520.00000
89,44,1409.40942,-1672,FFFFF978,238260784.00000
91,45,1441.44140,-1673,FFFFF977,243675616.00000
93,46,1473.47351,-1675,FFFFF975,249090480.00000
95,47,1505.50549,-1677,FFFFF973,254505616.00000
97,48,1537.53759,-1680,FFFFF970,259920608.00000
99,49,1569.56958,-1683,FFFFF96D,265335344.00000
101,50,1601.60156,-1686,FFFFF96A,270750688.00000
103,51,1633.63366,-1691,FFFFF965,276165536.00000
105,52,1665.66564,-1695,FFFFF961,281580704.00000
107,53,1697.69775,-1699,FFFFF95D,286995712.00000
109,54,1729.72973,-1705,FFFFF957,292410784.00000
111,55,1761.76171,-1711,FFFFF951,297825792.00000
113,56,1793.79382,-1716,FFFFF94C,303240928.00000
115,57,1825.82580,-1722,FFFFF946,308655808.00000
117,58,1857.85791,-1727,FFFFF941,314070624.00000
119,59,1889.88989,-1733,FFFFF93B,319485792.00000
121,60,1921.92187,-1738,FFFFF936,324900832.00000
123,61,1953.95397,-1744,FFFFF930,330315808.00000
125,62,1985.98596,-1749,FFFFF92B,335730688.00000
127,63,2018.01806,-1754,FFFFF926,341145760.00000
129,64,2050.05004,-1759,FFFFF921,346560928.00000
131,65,2082.08203,-1764,FFFFF91C,351975936.00000
133,66,2114.11401,-1770,FFFFF916,357391008.00000
135,67,2146.14624,-1775,FFFFF911,362805856.00000
137,68,2178.17822,-1778,FFFFF90E,368220864.00000
139,69,2210.21020,-1782,FFFFF90A,373635808.00000
141,70,2242.24218,-1786,FFFFF906,379050880.00000
143,71,2274.27416,-1789,FFFFF903,384466016.00000
145,72,2306.30639,-1790,FFFFF902,389880864.00000
147,73,2338.33837,-1792,FFFFF900,395295968.00000
149,74,2370.37036,-1795,FFFFF8FD,400711200.00000
151,75,2402.40234,-1797,FFFFF8FB,406125984.00000
153,76,2434.43432,-1799,FFFFF8F9,411541056.00000
155,77,2466.46655,-1801,FFFFF8F7,416955968.00000
157,78,2498.49853,-1802,FFFFF8F6,422371168.00000
159,79,2530.53051,-1801,FFFFF8F7,427786048.00000
161,80,2562.56250,-1801,FFFFF8F7,433200992.00000
163,81,2594.59448,-1800,FFFFF8F8,438615904.00000
165,82,2626.62670,-1800,FFFFF8F8,444031136.00000
167,83,2658.65869,-1799,FFFFF8F9,449445824.00000
169,84,2690.69067,-1796,FFFFF8FC,454860992.00000
171,85,2722.72265,-1793,FFFFF8FF,460275872.00000
173,86,2754.75463,-1790,FFFFF902,465691040.00000
175,87,2786.78686,-1786,FFFFF906,471105888.00000
177,88,2818.81884,-1782,FFFFF90A,476521568.00000
179,89,2850.85083,-1778,FFFFF90E,481935904.00000
181,90,2882.88281,-1773,FFFFF913,487351232.00000
183,91,2914.91479,-1768,FFFFF918,492765824.00000
185,92,2946.94702,-1762,FFFFF91E,498180960.00000
187,93,2978.97900,-1756,FFFFF924,503596160.00000
189,94,3011.01098,-1750,FFFFF92A,509011232.00000
191,95,3043.04296,-1745,FFFFF92F,514425952.00000
193,96,3075.07519,-1738,FFFFF936,519841216.00000
195,97,3107.10717,-1732,FFFFF93C,525256128.00000
197,98,3139.13916,-1727,FFFFF941,530670688.00000
199,99,3171.17114,-1721,FFFFF947,536086368.00000
201,100,3203.20312,-1716,FFFFF94C,541501376.00000
203,101,3235.23535,-1711,FFFFF951,546916480.00000
205,102,3267.26733,-1706,FFFFF956,552331072.00000
207,103,3299.29931,-1700,FFFFF95C,557746496.00000
209,104,3331.33129,-1696,FFFFF960,563161408.00000
211,105,3363.36328,-1692,FFFFF964,568576640.00000
213,106,3395.39550,-1688,FFFFF968,573991424.00000
215,107,3427.42749,-1685,FFFFF96B,579406336.00000
217,108,3459.45947,-1681,FFFFF96F,584821568.00000
219,109,3491.49145,-1678,FFFFF972,590236416.00000
221,110,3523.52343,-1676,FFFFF974,595651584.00000
223,111,3555.55566,-1674,FFFFF976,601066816.00000
225,112,3587.58764,-1673,FFFFF977,606481856.00000
227,113,3619.61962,-1672,FFFFF978,611896704.00000
229,114,3651.65161,-1670,FFFFF97A,617311616.00000
231,115,3683.68359,-1669,FFFFF97B,622726656.00000
233,116,3715.71582,-1669,FFFFF97B,628141248.00000
235,117,3747.74780,-1669,FFFFF97B,633556288.00000
237,118,3779.77978,-1672,FFFFF978,638971584.00000
239,119,3811.81176,-1674,FFFFF976,644386432.00000
241,120,3843.84375,-1676,FFFFF974,649801664.00000
243,121,3875.87597,-1679,FFFFF971,655216512.00000
245,122,3907.90795,-1684,FFFFF96C,660631616.00000
247,123,3939.93994,-1687,FFFFF969,666046528.00000
249,124,3971.97192,-1690,FFFFF966,671461376.00000
251,125,4004.00390,-1694,FFFFF962,676876352.00000
253,126,4036.03613,-1697,FFFFF95F,682291520.00000
255,127,4068.06811,-1702,FFFFF95A,687706688.00000
257,128,4100.10009,-1708,FFFFF954,693121856.00000
259,129,4132.13232,-1713,FFFFF94F,698536640.00000
261,130,4164.16406,-1719,FFFFF949,703951872.00000
263,131,4196.19628,-1725,FFFFF943,709366720.00000
265,132,4228.22802,-1731,FFFFF93D,714782016.00000
267,133,4260.26025,-1738,FFFFF936,720196480.00000
269,134,4292.29248,-1745,FFFFF92F,725611712.00000
271,135,4324.32421,-1750,FFFFF92A,731026816.00000
273,136,4356.35644,-1755,FFFFF925,736441728.00000
275,137,4388.38818,-1759,FFFFF921,741857088.00000
277,138,4420.42041,-1763,FFFFF91D,747271616.00000
279,139,4452.45263,-1767,FFFFF919,752686656.00000
281,140,4484.48437,-1773,FFFFF913,758101760.00000
283,141,4516.51660,-1777,FFFFF90F,763516800.00000
285,142,4548.54833,-1781,FFFFF90B,768932032.00000
287,143,4580.58056,-1785,FFFFF907,774347264.00000
289,144,4612.61279,-1787,FFFFF905,779761728.00000
291,145,4644.64453,-1790,FFFFF902,785176704.00000
293,146,4676.67675,-1792,FFFFF900,790591936.00000
295,147,4708.70849,-1793,FFFFF8FF,796007104.00000
297,148,4740.74072,-1796,FFFFF8FC,801422400.00000
299,149,4772.77294,-1799,FFFFF8F9,806836864.00000
301,150,4804.80468,-1800,FFFFF8F8,812251968.00000
303,151,4836.83691,-1800,FFFFF8F8,817666816.00000
305,152,4868.86865,-1801,FFFFF8F7,823082112.00000
307,153,4900.90087,-1800,FFFFF8F8,828497344.00000
309,154,4932.93310,-1799,FFFFF8F9,833911936.00000
311,155,4964.96484,-1799,FFFFF8F9,839326912.00000
313,156,4996.99707,-1797,FFFFF8FB,844742336.00000
315,157,5029.02880,-1794,FFFFF8FE,850157056.00000
317,158,5061.06103,-1792,FFFFF900,855572096.00000
319,159,5093.09326,-1788,FFFFF904,860986944.00000
321,160,5125.12500,-1785,FFFFF907,866401984.00000
323,161,5157.15722,-1781,FFFFF90B,871817344.00000
325,162,5189.18896,-1776,FFFFF910,877231808.00000
327,163,5221.22119,-1772,FFFFF914,882647104.00000
329,164,5253.25341,-1767,FFFFF919,888062272.00000
331,165,5285.28515,-1762,FFFFF91E,893477312.00000
333,166,5317.31738,-1756,FFFFF924,898891648.00000
335,167,5349.34912,-1750,FFFFF92A,904307264.00000
337,168,5381.38134,-1744,FFFFF930,909721984.00000
339,169,5413.41357,-1737,FFFFF937,915136576.00000
341,170,5445.44531,-1732,FFFFF93C,920551744.00000
343,171,5477.47753,-1725,FFFFF943,925967616.00000
345,172,5509.50927,-1719,FFFFF949,931382080.00000
347,173,5541.54150,-1715,FFFFF94D,936797248.00000
349,174,5573.57373,-1710,FFFFF952,942211776.00000
351,175,5605.60546,-1705,FFFFF957,947626688.00000
353,176,5637.63769,-1700,FFFFF95C,953043136.00000
355,177,5669.66943,-1695,FFFFF961,958457600.00000
357,178,5701.70166,-1689,FFFFF967,963871808.00000
359,179,5733.73388,-1685,FFFFF96B,969286912.00000
