
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1527,FFFFFA09,0.00000
3,1,32.03203,-1527,FFFFFA09,3872.32006
5,2,64.06406,-1527,FFFFFA09,3051.46704
7,3,96.09609,-1528,FFFFFA08,2227.07958
9,4,128.12812,-1528,FFFFFA08,1130.14648
11,5,160.16015,-1526,FFFFFA0A,1042.39599
13,6,192.19219,-1526,FFFFFA0A,1120.09082
15,7,224.22422,-1528,FFFFFA08,1749.67602
17,8,256.25625,-1527,FFFFFA09,1912.98107
19,9,288.28829,-1527,FFFFFA09,1820.35083
21,10,320.32031,-1527,FFFFFA09,1741.16748
23,11,352.35235,-1528,FFFFFA08,1471.58715
25,12,384.38439,-1527,FFFFFA09,1288.55151
27,13,416.41641,-1527,FFFFFA09,1275.34130
29,14,448.44845,-1528,FFFFFA08,1570.29565
31,15,480.48046,-1528,FFFFFA08,1689.71484
33,16,512.51251,-1528,FFFFFA08,1722.48864
35,17,544.54455,-1527,FFFFFA09,1615.30078
37,18,576.57659,-1527,FFFFFA09,1436.83361
39,19,608.60858,-1527,FFFFFA09,1355.93139
41,20,640.64062,-1528,FFFFFA08,1427.19470
43,21,672.67266,-1528,FFFFFA08,1452.00854
45,22,704.70471,-1527,FFFFFA09,1663.60546
47,23,736.73675,-1526,FFFFFA0A,1662.71936
49,24,768.76879,-1527,FFFFFA09,1574.67639
51,25,800.80078,-1527,FFFFFA09,1423.47094
53,26,832.83282,-1528,FFFFFA08,1402.00036
55,27,864.86486,-1528,FFFFFA08,1408.81811
57,28,896.89691,-1527,FFFFFA09,1573.10217
59,29,928.92895,-1527,FFFFFA09,1574.51989
61,30,960.96093,-1527,FFFFFA09,1596.39868
63,31,992.99298,-1527,FFFFFA09,1585.06054
65,32,1025.02502,-1527,FFFFFA09,1498.87939
67,33,1057.05700,-1527,FFFFFA09,1482.80261
69,34,1089.08911,-1528,FFFFFA08,1462.92138
71,35,1121.12109,-1528,FFFFFA08,1508.28454
73,36,1153.15319,-1526,FFFFFA0A,1667.18652
75,37,1185.18518,-1526,FFFFFA0A,1592.96032
77,38,1217.21716,-1527,FFFFFA09,1544.96386
79,39,1249.24926,-1527,FFFFFA09,1501.37121
81,40,1281.28125,-1527,FFFFFA09,1451.79492
83,41,1313.31335,-1527,FFFFFA09,1433.77661
85,42,1345.34533,-1527,FFFFFA09,1488.84130
87,43,1377.37731,-1526,FFFFFA0A,1541.47497
89,44,1409.40942,-1526,FFFFFA0A,1604.05737
91,45,1441.44140,-1527,FFFFFA09,1555.41735
