
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1380,FFFFFA9C,0.00000
3,1,258.06451,-1384,FFFFFA98,2108.39404
5,2,516.12902,-1394,FFFFFA8E,6499.32373
7,3,774.19354,-1411,FFFFFA7D,6837.37060
9,4,1032.25805,-1432,FFFFFA68,3009.54248
11,5,1290.32263,-1450,FFFFFA56,2030.01403
13,6,1548.38708,-1466,FFFFFA46,1961.37573
15,7,1806.45166,-1478,FFFFFA3A,1749.99621
17,8,2064.51611,-1492,FFFFFA2C,1801.61486
19,9,2322.58056,-1510,FFFFFA1A,1738.54455
21,10,2580.64526,-1534,FFFFFA02,1630.18627
23,11,2838.70971,-1560,FFFFF9E8,1581.35217
25,12,3096.77416,-1583,FFFFF9D1,1453.55041
27,13,3354.83862,-1604,FFFFF9BC,1683.83691
29,14,3612.90332,-1621,FFFFF9AB,1621.78320
31,15,3870.96777,-1637,FFFFF99B,1601.77429
33,16,4129.03222,-1653,FFFFF98B,1546.36047
35,17,4387.09667,-1669,FFFFF97B,1360.73132
37,18,4645.16113,-1684,FFFFF96C,1679.37976
39,19,4903.22558,-1694,FFFFF962,1630.68041
41,20,5161.29052,-1700,FFFFF95C,1594.49108
43,21,5419.35498,-1704,FFFFF958,1596.45532
45,22,5677.41943,-1708,FFFFF954,1632.30834
47,23,5935.48388,-1714,FFFFF94E,1570.32763
49,24,6193.54833,-1721,FFFFF947,1578.39416
51,25,6451.61279,-1724,FFFFF944,1580.27075
53,26,6709.67724,-1722,FFFFF946,1577.23181
55,27,6967.74169,-1715,FFFFF94D,1567.03430
57,28,7225.80664,-1702,FFFFF95A,1571.43640
59,29,7483.87109,-1686,FFFFF96A,1559.79052
61,30,7741.93554,-1669,FFFFF97B,1569.07031
63,31,8000.00000,-1655,FFFFF989,1562.28833
65,32,8258.06445,-1644,FFFFF994,1551.32373
67,33,8516.12890,-1632,FFFFF9A0,1559.74060
69,34,8774.19335,-1616,FFFFF9B0,1567.85168
71,35,9032.25781,-1596,FFFFF9C4,1557.96240
73,36,9290.32226,-1573,FFFFF9DB,1553.09826
75,37,9548.38671,-1551,FFFFF9F1,1558.50549
77,38,9806.45117,-1531,FFFFFA05,1557.66577
79,39,10064.51660,-1516,FFFFFA14,1554.21997
81,40,10322.58105,-1500,FFFFFA24,1559.73779
83,41,10580.64550,-1479,FFFFFA39,1553.90417
85,42,10838.70996,-1456,FFFFFA50,1555.35559
87,43,11096.77441,-1437,FFFFFA63,1553.01806
89,44,11354.83886,-1422,FFFFFA72,1551.81726
91,45,11612.90332,-1411,FFFFFA7D,1546.72460
93,46,11870.96777,-1404,FFFFFA84,1554.53845
95,47,12129.03222,-1397,FFFFFA8B,1552.44030
97,48,12387.09667,-1391,FFFFFA91,1548.76770
99,49,12645.16113,-1386,FFFFFA96,1547.36254
101,50,12903.22558,-1383,FFFFFA99,1546.98352
103,51,13161.29003,-1385,FFFFFA97,1546.09289
105,52,13419.35449,-1394,FFFFFA8E,1546.49829
107,53,13677.41894,-1408,FFFFFA80,1546.86132
109,54,13935.48339,-1426,FFFFFA6E,1550.65783
111,55,14193.54882,-1446,FFFFFA5A,1552.07141
113,56,14451.61328,-1463,FFFFFA49,1550.16748
