

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1485,FFFFFA33,0.00000
3,1,64.12825,-1490,FFFFFA2E,3421.07763
5,2,128.25651,-1496,FFFFFA28,1872.62194
7,3,192.38476,-1503,FFFFFA21,426.51681
9,4,256.51303,-1511,FFFFFA19,2625.22998
11,5,320.64129,-1519,FFFFFA11,4665.15820
13,6,384.76953,-1528,FFFFFA08,8000.32226
15,7,448.89779,-1537,FFFFF9FF,18370.39453
17,8,513.02606,-1544,FFFFF9F8,5296.09082
19,9,577.15429,-1551,FFFFF9F1,5464.50146
21,10,641.28259,-1560,FFFFF9E8,3352.03686
23,11,705.41082,-1570,FFFFF9DE,364.51721
25,12,769.53906,-1578,FFFFF9D6,2441.28247
27,13,833.66735,-1584,FFFFF9D0,3054.45776
29,14,897.79559,-1590,FFFFF9CA,1681.83813
31,15,961.92382,-1597,FFFFF9C3,920.40203
33,16,1026.05212,-1603,FFFFF9BD,2234.03002
35,17,1090.18041,-1609,FFFFF9B7,2144.60815
37,18,1154.30859,-1615,FFFFF9B1,1023.97760
39,19,1218.43688,-1620,FFFFF9AC,1534.16320
41,20,1282.56518,-1624,FFFFF9A8,2162.53051
43,21,1346.69335,-1629,FFFFF9A3,1550.03100
45,22,1410.82165,-1633,FFFFF99F,1121.21508
47,23,1474.94995,-1636,FFFFF99C,1940.53613
49,24,1539.07812,-1640,FFFFF998,1921.10595
51,25,1603.20642,-1643,FFFFF995,1179.21826
53,26,1667.33471,-1645,FFFFF993,1475.81591
55,27,1731.46289,-1646,FFFFF992,1969.24694
57,28,1795.59118,-1648,FFFFF990,1567.50012
59,29,1859.71948,-1650,FFFFF98E,1225.87963
61,30,1923.84765,-1650,FFFFF98E,1798.83605
63,31,1987.97595,-1650,FFFFF98E,1838.27087
65,32,2052.10424,-1650,FFFFF98E,1274.03503
67,33,2116.23242,-1649,FFFFF98F,1478.97937
69,34,2180.36083,-1646,FFFFF992,1807.73217
71,35,2244.48901,-1642,FFFFF996,1557.90722
73,36,2308.61718,-1638,FFFFF99A,1277.59423
75,37,2372.74560,-1634,FFFFF99E,1686.93872
77,38,2436.87377,-1629,FFFFF9A3,1723.78540
79,39,2501.00195,-1623,FFFFF9A9,1309.27221
81,40,2565.13037,-1616,FFFFF9B0,1468.41296
83,41,2629.25854,-1608,FFFFF9B8,1850.42858
85,42,2693.38671,-1601,FFFFF9BF,1557.97033
87,43,2757.51513,-1593,FFFFF9C7,1280.84814
89,44,2821.64331,-1586,FFFFF9CE,1711.01318
91,45,2885.77148,-1578,FFFFF9D6,1676.49084
93,46,2949.89990,-1571,FFFFF9DD,1269.72448
95,47,3014.02807,-1563,FFFFF9E5,1548.95922
97,48,3078.15625,-1555,FFFFF9ED,1749.09204
99,49,3142.28466,-1547,FFFFF9F5,1589.49926
101,50,3206.41284,-1539,FFFFF9FD,1354.95727
103,51,3270.54101,-1532,FFFFFA04,1625.80065
105,52,3334.66943,-1526,FFFFFA0A,1662.81872
107,53,3398.79760,-1518,FFFFFA12,1323.45556
109,54,3462.92578,-1510,FFFFFA1A,1416.24121
111,55,3527.05419,-1503,FFFFFA21,1683.93627
113,56,3591.18237,-1498,FFFFFA26,1565.74169
115,57,3655.31054,-1494,FFFFFA2A,1297.16198
117,58,3719.43896,-1491,FFFFFA2D,1640.06188
119,59,3783.56713,-1487,FFFFFA31,1644.21813
121,60,3847.69531,-1483,FFFFFA35,1383.04370
123,61,3911.82373,-1479,FFFFFA39,1455.89953
125,62,3975.95190,-1475,FFFFFA3D,1662.03808
127,63,4040.08007,-1471,FFFFFA41,1543.03991
129,64,4104.20849,-1468,FFFFFA44,1350.64941
131,65,4168.33691,-1465,FFFFFA47,1594.38415
133,66,4232.46484,-1465,FFFFFA47,1653.32141
135,67,4296.59326,-1467,FFFFFA45,1404.11010
137,68,4360.72167,-1469,FFFFFA43,1435.93823
139,69,4424.84960,-1473,FFFFFA3F,1671.69592
141,70,4488.97802,-1477,FFFFFA3B,1504.07385
143,71,4553.10644,-1480,FFFFFA38,1375.34533
145,72,4617.23437,-1484,FFFFFA34,1614.26806
147,73,4681.36279,-1486,FFFFFA32,1617.93029
149,74,4745.49121,-1490,FFFFFA2E,1326.24816
151,75,4809.61914,-1497,FFFFFA27,1475.81323
153,76,4873.74755,-1504,FFFFFA20,1759.44116
155,77,4937.87597,-1512,FFFFFA18,1561.15661
