
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1529,FFFFFA07,0.00000
3,1,64.12825,-1524,FFFFFA0C,984.00787
5,2,128.25651,-1520,FFFFFA10,1233.45544
7,3,192.38476,-1518,FFFFFA12,2710.59765
9,4,256.51303,-1516,FFFFFA14,3352.39941
11,5,320.64129,-1514,FFFFFA16,5548.13085
13,6,384.76953,-1512,FFFFFA18,8730.80664
15,7,448.89779,-1510,FFFFFA1A,4932.21142
17,8,513.02606,-1509,FFFFFA1B,2556.73535

ChibiOS/RT Shell
ch> 19,9,577.15429,-1508,FFFFFA1C,928.54333
21,10,641.28259,-1507,FFFFFA1D,1725.60546
23,11,705.41082,-1506,FFFFFA1E,2485.15942
25,12,769.53906,-1504,FFFFFA20,2304.26464
27,13,833.66735,-1502,FFFFFA22,1625.59399
29,14,897.79559,-1501,FFFFFA23,1194.51440
31,15,961.92382,-1500,FFFFFA24,1685.50256
33,16,1026.05212,-1498,FFFFFA26,2009.13708
35,17,1090.18041,-1499,FFFFFA25,1966.21752
37,18,1154.30859,-1500,FFFFFA24,1570.25622
39,19,1218.43688,-1500,FFFFFA24,1290.56018
41,20,1282.56518,-1501,FFFFFA23,1570.93994
43,21,1346.69335,-1502,FFFFFA22,1949.90600
45,22,1410.82165,-1502,FFFFFA22,1825.94274
47,23,1474.94995,-1503,FFFFFA21,1538.16528
49,24,1539.07812,-1505,FFFFFA1F,1338.12377
51,25,1603.20642,-1507,FFFFFA1D,1528.35241
53,26,1667.33471,-1508,FFFFFA1C,1821.55175
55,27,1731.46289,-1510,FFFFFA1A,1755.15991
57,28,1795.59118,-1512,FFFFFA18,1509.68554
59,29,1859.71948,-1514,FFFFFA16,1392.59716
61,30,1923.84765,-1516,FFFFFA14,1556.89013
63,31,1987.97595,-1519,FFFFFA11,1719.19970
65,32,2052.10424,-1521,FFFFFA0F,1728.68225
67,33,2116.23242,-1523,FFFFFA0D,1491.11352
69,34,2180.36083,-1526,FFFFFA0A,1430.82885
71,35,2244.48901,-1529,FFFFFA07,1557.20617
73,36,2308.61718,-1532,FFFFFA04,1708.12963
75,37,2372.74560,-1534,FFFFFA02,1790.54223
77,38,2436.87377,-1537,FFFFF9FF,1519.36853
79,39,2501.00195,-1541,FFFFF9FB,1405.45166
81,40,2565.13037,-1544,FFFFF9F8,1516.50341
83,41,2629.25854,-1547,FFFFF9F5,1701.01440
85,42,2693.38671,-1552,FFFFF9F0,1704.79260
87,43,2757.51513,-1556,FFFFF9EC,1507.41674
89,44,2821.64331,-1558,FFFFF9EA,1464.28784
91,45,2885.77148,-1560,FFFFF9E8,1534.11303
93,46,2949.89990,-1562,FFFFF9E6,1696.37866
95,47,3014.02807,-1564,FFFFF9E4,1763.18969
97,48,3078.15625,-1567,FFFFF9E1,1494.01635
99,49,3142.28466,-1570,FFFFF9DE,1442.74023
101,50,3206.41284,-1572,FFFFF9DC,1539.71166
103,51,3270.54101,-1575,FFFFF9D9,1654.14050
105,52,3334.66943,-1578,FFFFF9D6,1665.41271
107,53,3398.79760,-1580,FFFFF9D4,1529.70556
109,54,3462.92578,-1582,FFFFF9D2,1482.02832
111,55,3527.05419,-1584,FFFFF9D0,1514.37158
113,56,3591.18237,-1585,FFFFF9CF,1661.88269
115,57,3655.31054,-1586,FFFFF9CE,1663.16931
117,58,3719.43896,-1588,FFFFF9CC,1562.22717
119,59,3783.56713,-1589,FFFFF9CB,1431.17907
121,60,3847.69531,-1590,FFFFF9CA,1547.69299
123,61,3911.82373,-1591,FFFFF9C9,1644.29650
125,62,3975.95190,-1592,FFFFF9C8,1635.55236
127,63,4040.08007,-1594,FFFFF9C6,1558.09863
129,64,4104.20849,-1595,FFFFF9C5,1460.20251
131,65,4168.33691,-1595,FFFFF9C5,1518.71997
133,66,4232.46484,-1595,FFFFF9C5,1621.17724
135,67,4296.59326,-1594,FFFFF9C6,1639.83947
137,68,4360.72167,-1594,FFFFF9C6,1551.85778
139,69,4424.84960,-1594,FFFFF9C6,1481.93371
141,70,4488.97802,-1592,FFFFF9C8,1553.81616
143,71,4553.10644,-1592,FFFFF9C8,1629.79968
145,72,4617.23437,-1591,FFFFF9C9,1647.19189
147,73,4681.36279,-1590,FFFFF9CA,1532.53125
149,74,4745.49121,-1588,FFFFF9CC,1485.52038
151,75,4809.61914,-1585,FFFFF9CF,1540.95581
153,76,4873.74755,-1582,FFFFF9D2,1631.49084
155,77,4937.87597,-1580,FFFFF9D4,1629.30639
157,78,5002.00390,-1577,FFFFF9D7,1543.17700
159,79,5066.13232,-1576,FFFFF9D8,1476.11975
161,80,5130.26074,-1574,FFFFF9DA,1559.11120
163,81,5194.38867,-1571,FFFFF9DD,1620.22619
165,82,5258.51708,-1568,FFFFF9E0,1654.63256
167,83,5322.64550,-1565,FFFFF9E3,1570.41406
169,84,5386.77343,-1562,FFFFF9E6,1498.64428
171,85,5450.90185,-1560,FFFFF9E8,1547.10205
173,86,5515.03027,-1557,FFFFF9EB,1627.11938
175,87,5579.15820,-1553,FFFFF9EF,1638.39001
177,88,5643.28662,-1549,FFFFF9F3,1549.13439
179,89,5707.41503,-1547,FFFFF9F5,1513.06604
181,90,5771.54296,-1544,FFFFF9F8,1524.56835
183,91,5835.67138,-1542,FFFFF9FA,1605.33728
185,92,5899.79980,-1540,FFFFF9FC,1611.58557
187,93,5963.92773,-1538,FFFFF9FE,1551.18811
189,94,6028.05615,-1536,FFFFFA00,1524.64135
191,95,6092.18457,-1534,FFFFFA02,1551.54748
193,96,6156.31250,-1532,FFFFFA04,1601.45019
195,97,6220.44091,-1528,FFFFFA08,1594.48217
197,98,6284.56933,-1524,FFFFFA0C,1539.06115
199,99,6348.69726,-1521,FFFFFA0F,1503.29052
201,100,6412.82568,-1520,FFFFFA10,1542.29492
203,101,6476.95410,-1519,FFFFFA11,1615.04443
205,102,6541.08203,-1518,FFFFFA12,1623.84228
207,103,6605.21044,-1517,FFFFFA13,1560.52539
209,104,6669.33886,-1517,FFFFFA13,1522.73425
211,105,6733.46679,-1515,FFFFFA15,1542.15820
213,106,6797.59521,-1514,FFFFFA16,1623.19384
215,107,6861.72363,-1513,FFFFFA17,1606.12609
217,108,6925.85156,-1511,FFFFFA19,1539.60205
219,109,6989.97998,-1511,FFFFFA19,1509.40344
221,110,7054.10839,-1511,FFFFFA19,1539.82067
223,111,7118.23632,-1511,FFFFFA19,1623.61169
225,112,7182.36474,-1511,FFFFFA19,1610.78784
227,113,7246.49316,-1512,FFFFFA18,1548.59045
229,114,7310.62109,-1513,FFFFFA17,1506.27819
231,115,7374.74951,-1515,FFFFFA15,1558.84826
233,116,7438.87792,-1515,FFFFFA15,1603.74279
235,117,7503.00585,-1515,FFFFFA15,1624.93493
237,118,7567.13427,-1517,FFFFFA13,1552.26501
