

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1503,FFFFFA21,0.00000
3,1,32.03203,-1497,FFFFFA27,4606.89746
5,2,64.06406,-1492,FFFFFA2C,3478.47021
7,3,96.09609,-1489,FFFFFA2F,1762.11877
9,4,128.12812,-1486,FFFFFA32,567.24584
11,5,160.16015,-1484,FFFFFA34,820.89019
13,6,192.19219,-1481,FFFFFA37,2455.12524
15,7,224.22422,-1477,FFFFFA3B,3779.45043
17,8,256.25625,-1475,FFFFFA3D,3215.05029
19,9,288.28829,-1475,FFFFFA3D,2790.48339
21,10,320.32031,-1474,FFFFFA3E,1253.02453
23,11,352.35235,-1474,FFFFFA3E,2430.80102
25,12,384.38439,-1475,FFFFFA3D,6254.12207
27,13,416.41641,-1476,FFFFFA3C,16677.04101
29,14,448.44845,-1477,FFFFFA3B,33930.25781
31,15,480.48046,-1480,FFFFFA38,5694.77685
33,16,512.51251,-1485,FFFFFA33,4749.67089
35,17,544.54455,-1491,FFFFFA2D,3270.01977
37,18,576.57659,-1497,FFFFFA27,2900.47216
39,19,608.60858,-1504,FFFFFA20,1219.60009
41,20,640.64062,-1510,FFFFFA1A,550.84307
43,21,672.67266,-1513,FFFFFA17,751.25024
45,22,704.70471,-1518,FFFFFA12,1632.56018
47,23,736.73675,-1523,FFFFFA0D,2150.18505
49,24,768.76879,-1529,FFFFFA07,1963.64892
51,25,800.80078,-1537,FFFFF9FF,1609.61267
53,26,832.83282,-1543,FFFFF9F9,946.01544
55,27,864.86486,-1549,FFFFF9F3,1512.81713
57,28,896.89691,-1556,FFFFF9EC,700.11450
59,29,928.92895,-1564,FFFFF9E4,1539.14660
61,30,960.96093,-1572,FFFFF9DC,1953.22424
63,31,992.99298,-1577,FFFFF9D7,1870.03845
65,32,1025.02502,-1581,FFFFF9D3,1650.35229
67,33,1057.05700,-1584,FFFFF9D0,1346.74560
69,34,1089.08911,-1586,FFFFF9CE,1145.06225
71,35,1121.12109,-1588,FFFFF9CC,1284.38610
