
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1007,FFFFFC11,0.00000
3,1,32.03203,-1011,FFFFFC0D,11631.32128
5,2,64.06406,-1016,FFFFFC08,6494.32080
7,3,96.09609,-1020,FFFFFC04,5129.46289
9,4,128.12812,-1025,FFFFFBFF,4051.34667
11,5,160.16015,-1031,FFFFFBF9,3366.28149
13,6,192.19219,-1038,FFFFFBF2,4655.15527
15,7,224.22422,-1044,FFFFFBEC,2940.90795
17,8,256.25625,-1047,FFFFFBE9,2456.01831
19,9,288.28829,-1051,FFFFFBE5,2060.08642
21,10,320.32031,-1059,FFFFFBDD,2142.80126
23,11,352.35235,-1066,FFFFFBD6,2608.46044
25,12,384.38439,-1072,FFFFFBD0,5260.72656
27,13,416.41641,-1077,FFFFFBCB,13681.57910
29,14,448.44845,-1081,FFFFFBC7,27937.24218
31,15,480.48046,-1084,FFFFFBC4,6289.18505
33,16,512.51251,-1088,FFFFFBC0,2927.73632
35,17,544.54455,-1091,FFFFFBBD,1524.03173
37,18,576.57659,-1097,FFFFFBB7,829.75671
39,19,608.60858,-1103,FFFFFBB1,836.51666
41,20,640.64062,-1107,FFFFFBAD,1106.93798
43,21,672.67266,-1112,FFFFFBA8,1413.62487
45,22,704.70471,-1115,FFFFFBA5,1518.80065
47,23,736.73675,-1118,FFFFFBA2,1605.25439
49,24,768.76879,-1120,FFFFFBA0,1568.77990
51,25,800.80078,-1122,FFFFFB9E,1597.24194
53,26,832.83282,-1124,FFFFFB9C,1524.30493
55,27,864.86486,-1126,FFFFFB9A,1264.80957
57,28,896.89691,-1126,FFFFFB9A,1474.13830
59,29,928.92895,-1126,FFFFFB9A,1095.56042
61,30,960.96093,-1127,FFFFFB99,914.37835
63,31,992.99298,-1127,FFFFFB99,709.20300
65,32,1025.02502,-1128,FFFFFB98,726.59344
67,33,1057.05700,-1126,FFFFFB9A,812.49780
69,34,1089.08911,-1123,FFFFFB9D,924.12536
