

AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
starting robot 
before init 
init 
start I2S -> sleep 1s 

ChibiOS/RT Shell
ch> before start DMA 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,1832,00000728,0.00000
3,1,32.03203,1837,0000072D,280102.18750
5,2,64.06406,1843,00000733,143705.71875
7,3,96.09609,1848,00000738,96284.96093
9,4,128.12812,1851,0000073B,71870.94531
11,5,160.16015,1855,0000073F,57873.14062
13,6,192.19219,1858,00000742,49349.40625
15,7,224.22422,1861,00000745,42387.73828
17,8,256.25625,1866,0000074A,38876.98828
19,9,288.28829,1868,0000074C,34995.85156
21,10,320.32031,1869,0000074D,32460.50781
23,11,352.35235,1870,0000074E,30422.41210
25,12,384.38439,1871,0000074F,29435.46289
27,13,416.41641,1873,00000751,32449.21679
29,14,448.44845,1874,00000752,6300.90087
31,15,480.48046,1875,00000753,14102.45800
33,16,512.51251,1876,00000754,14249.49023
35,17,544.54455,1877,00000755,13361.43652
37,18,576.57659,1879,00000757,12870.27636
39,19,608.60858,1880,00000758,12867.25976
41,20,640.64062,1879,00000757,13062.08007
43,21,672.67266,1878,00000756,13250.21484
45,22,704.70471,1878,00000756,13561.11523
47,23,736.73675,1879,00000757,13526.05761
49,24,768.76879,1878,00000756,13336.67480
51,25,800.80078,1878,00000756,12890.50292
53,26,832.83282,1878,00000756,12157.36621
55,27,864.86486,1878,00000756,11377.64062
57,28,896.89691,1878,00000756,9966.14843
59,29,928.92895,1878,00000756,8950.63867
61,30,960.96093,1878,00000756,7945.20458
63,31,992.99298,1879,00000757,7174.66064
65,32,1025.02502,1880,00000758,6939.57568
67,33,1057.05700,1881,00000759,7184.70996
69,34,1089.08911,1883,0000075B,7769.55615
71,35,1121.12109,1885,0000075D,8409.10058
73,36,1153.15319,1887,0000075F,8906.82812
75,37,1185.18518,1889,00000761,9209.30468
77,38,1217.21716,1892,00000764,9184.87792
