,,,,,
AMiRo LightRing 1.0,,,,,
Bootloader 1.1.1,,,,,
ChibiOS 2.6.8,,,,,
Board ID: 36,,,,,
,,,,,
starting robot ,,,,,
before init ,,,,,
starting robot ,,,,,
before init ,,,,,
init ,,,,,
start I2S -> sleep 1s ,,,,,
,,,,,
ChibiOS/RT Shell,,,,,
ch> before start DMA ,,,,,
before stop DMA ,,,,,
stop DMA -> sleep 1s ,,,,,
before stop I2S ,,,,,
stop I2S -> 1s ,,,,,
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0,-586,FFFFFDB6,0
3,1,32.03203,-571,FFFFFDC5,109796.08593
5,2,64.06406,-557,FFFFFDD3,96020.44531
7,3,96.09609,-541,FFFFFDE3,77771.20312
9,4,128.12812,-524,FFFFFDF4,54981.7539
11,5,160.16015,-505,FFFFFE07,31180.20312
13,6,192.19219,-487,FFFFFE19,9492.5957
15,7,224.22422,-478,FFFFFE22,7862.81591
17,8,256.25625,-474,FFFFFE26,19217.00976
19,9,288.28829,-473,FFFFFE27,23968.30468
21,10,320.32031,-473,FFFFFE27,22160.9414
23,11,352.35235,-474,FFFFFE26,15647.30175
25,12,384.38439,-474,FFFFFE26,13766.96875
27,13,416.41641,-473,FFFFFE27,42393.94921
29,14,448.44845,-472,FFFFFE28,73811.49218
31,15,480.48046,-471,FFFFFE29,11197.99023
33,16,512.51251,-474,FFFFFE26,14756.53125
35,17,544.54455,-485,FFFFFE1B,17120.82226
37,18,576.57659,-506,FFFFFE06,15395.84082
39,19,608.60858,-532,FFFFFDEC,11016.66503
41,20,640.64062,-554,FFFFFDD6,6133.64794
43,21,672.67266,-572,FFFFFDC4,5389.53076
45,22,704.70471,-586,FFFFFDB6,8655.03222
47,23,736.73675,-598,FFFFFDAA,10901.12597
49,24,768.76879,-611,FFFFFD9D,10969.76562
51,25,800.80078,-628,FFFFFD8C,8753.49023
53,26,832.83282,-644,FFFFFD7C,5430.15966
55,27,864.86486,-656,FFFFFD70,6457.85986
57,28,896.89691,-668,FFFFFD64,1865.02709
59,29,928.92895,-688,FFFFFD50,6141.42138
61,30,960.96093,-711,FFFFFD39,7914.24853
63,31,992.99298,-732,FFFFFD24,7737.16064
65,32,1025.02502,-748,FFFFFD14,5975.00585
67,33,1057.057,-757,FFFFFD0B,3348.58007
69,34,1089.08911,-760,FFFFFD08,2200.65283
71,35,1121.12109,-763,FFFFFD05,4174.51855
73,36,1153.15319,-770,FFFFFCFE,5946.66845
75,37,1185.18518,-784,FFFFFCF0,6535.61572
77,38,1217.21716,-801,FFFFFCDF,5811.82373
79,39,1249.24926,-817,FFFFFCCF,4117.53613
81,40,1281.28125,-834,FFFFFCBE,2438.73437
83,41,1313.31335,-849,FFFFFCAF,2179.93432
85,42,1345.34533,-860,FFFFFCA4,4964.45751
87,43,1377.37731,-864,FFFFFCA0,5919.35009
89,44,1409.40942,-862,FFFFFCA2,5914.48583
91,45,1441.4414,-862,FFFFFCA2,4860.71533
93,46,1473.47351,-866,FFFFFC9E,2981.83837
95,47,1505.50549,-870,FFFFFC9A,1414.94152
97,48,1537.53759,-878,FFFFFC92,2557.22583
99,49,1569.56958,-888,FFFFFC88,4154.98876
101,50,1601.60156,-894,FFFFFC82,5024.35546
103,51,1633.63366,-898,FFFFFC7E,4861.87451
105,52,1665.66564,-898,FFFFFC7E,3725.92578
107,53,1697.69775,-892,FFFFFC84,2238.99609
109,54,1729.72973,-879,FFFFFC91,1372.25463
111,55,1761.76171,-860,FFFFFCA4,3024.96264
113,56,1793.79382,-841,FFFFFCB7,4066.22802
115,57,1825.8258,-827,FFFFFCC5,4442.54003
117,58,1857.85791,-817,FFFFFCCF,3999.04296
119,59,1889.88989,-810,FFFFFCD6,2796.01098
121,60,1921.92187,-802,FFFFFCDE,1382.40942
123,61,1953.95397,-789,FFFFFCEB,1509.38024
125,62,1985.98596,-773,FFFFFCFB,2838.35766
127,63,2018.01806,-756,FFFFFD0C,3789.19067
129,64,2050.05004,-740,FFFFFD1C,3897.60058
131,65,2082.08203,-720,FFFFFD30,3347.25439
133,66,2114.11401,-697,FFFFFD47,2148.07348
135,67,2146.14624,-674,FFFFFD5E,1003.41546
137,68,2178.17822,-653,FFFFFD73,1721.61059
139,69,2210.2102,-638,FFFFFD82,2832.59741
141,70,2242.24218,-629,FFFFFD8B,3492.61718
143,71,2274.27416,-622,FFFFFD92,3485.8413
145,72,2306.30639,-612,FFFFFD9C,2677.85546
147,73,2338.33837,-598,FFFFFDAA,1648.33825
149,74,2370.37036,-583,FFFFFDB9,933.38763
151,75,2402.40234,-568,FFFFFDC8,1870.16333
153,76,2434.43432,-553,FFFFFDD7,2813.08081
155,77,2466.46655,-535,FFFFFDE9,3324.94604
157,78,2498.49853,-517,FFFFFDFB,3029.29394
159,79,2530.53051,-502,FFFFFE0A,2342.36938
161,80,2562.5625,-492,FFFFFE14,1287.74682
