000, 0, 0, 0, 0, 0, 0, 0, 0 
752, -536839145, E0007C17, E, 0, 0, 0, 7, C, 1, 7 
753, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
754, -1610580803, A0007CBD, A, 0, 0, 0, 7, C, B, D 
755, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
756, 536902834, 20007CB2, 2, 0, 0, 0, 7, C, B, 2 
757, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
758, -1610580827, A0007CA5, A, 0, 0, 0, 7, C, A, 5 
759, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
760, 1610644634, 60007C9A, 6, 0, 0, 0, 7, C, 9, A 
761, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
762, 1073773821, 40007CFD, 4, 0, 0, 0, 7, C, F, D 
763, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
764, -2147451645, 80007D03, 8, 0, 0, 0, 7, D, 0, 3 
765, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
766, -1610580729, A0007D07, A, 0, 0, 0, 7, D, 0, 7 
767, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
768, 1073773835, 40007D0B, 4, 0, 0, 0, 7, D, 0, B 
769, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
770, 1610644531, 60007C33, 6, 0, 0, 0, 7, C, 3, 3 
771, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
772, -1073710019, C0007C3D, C, 0, 0, 0, 7, C, 3, D 
773, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
774, 536902727, 20007C47, 2, 0, 0, 0, 7, C, 4, 7 
775, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
776, 1610644561, 60007C51, 6, 0, 0, 0, 7, C, 5, 1 
777, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
778, -1073710027, C0007C35, C, 0, 0, 0, 7, C, 3, 5 
779, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
780, -1073710031, C0007C31, C, 0, 0, 0, 7, C, 3, 1 
781, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
782, 31789, 00007C2D, 0, 0, 0, 0, 7, C, 2, D 
783, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
784, -2147451867, 80007C25, 8, 0, 0, 0, 7, C, 2, 5 
785, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
786, -1073709859, C0007CDD, C, 0, 0, 0, 7, C, D, D 
787, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
788, 1073773778, 40007CD2, 4, 0, 0, 0, 7, C, D, 2 
789, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
790, 1073773766, 40007CC6, 4, 0, 0, 0, 7, C, C, 6 
791, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
792, -1073709893, C0007CBB, C, 0, 0, 0, 7, C, B, B 
793, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
794, 1610644712, 60007CE8, 6, 0, 0, 0, 7, C, E, 8 
795, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
796, -2147451662, 80007CF2, 8, 0, 0, 0, 7, C, F, 2 
797, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
798, 1073773819, 40007CFB, 4, 0, 0, 0, 7, C, F, B 
799, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
800, 1073773595, 40007C1B, 4, 0, 0, 0, 7, C, 1, B 
801, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
802, -536839137, E0007C1F, E, 0, 0, 0, 7, C, 1, F 
803, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
804, 1073773605, 40007C25, 4, 0, 0, 0, 7, C, 2, 5 
805, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
806, -536839125, E0007C2B, E, 0, 0, 0, 7, C, 2, B 
807, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
808, 31824, 00007C50, 0, 0, 0, 0, 7, C, 5, 0 
809, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
810, 536902727, 20007C47, 2, 0, 0, 0, 7, C, 4, 7 
811, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
812, -1073710013, C0007C43, C, 0, 0, 0, 7, C, 4, 3 
813, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
814, 31806, 00007C3E, 0, 0, 0, 0, 7, C, 3, E 
815, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
816, 1073773823, 40007CFF, 4, 0, 0, 0, 7, C, F, F 
817, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
818, -1073709833, C0007CF7, C, 0, 0, 0, 7, C, F, 7 
819, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
820, -1073709840, C0007CF0, C, 0, 0, 0, 7, C, F, 0 
821, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
822, 1610644712, 60007CE8, 6, 0, 0, 0, 7, C, E, 8 
823, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
824, -2147451718, 80007CBA, 8, 0, 0, 0, 7, C, B, A 
825, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
826, -536838971, E0007CC5, E, 0, 0, 0, 7, C, C, 5 
827, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
828, 1073773778, 40007CD2, 4, 0, 0, 0, 7, C, D, 2 
829, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
830, -1073709859, C0007CDD, C, 0, 0, 0, 7, C, D, D 
831, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
832, -2147451889, 80007C0F, 8, 0, 0, 0, 7, C, 0, F 
833, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
834, 536902674, 20007C12, 2, 0, 0, 0, 7, C, 1, 2 
835, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
836, -1610580970, A0007C16, A, 0, 0, 0, 7, C, 1, 6 
837, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
838, -1610580966, A0007C1A, A, 0, 0, 0, 7, C, 1, A 
839, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
840, 536902759, 20007C67, 2, 0, 0, 0, 7, C, 6, 7 
841, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
842, 536902753, 20007C61, 2, 0, 0, 0, 7, C, 6, 1 
843, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
844, -2147451816, 80007C58, 8, 0, 0, 0, 7, C, 5, 8 
845, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
846, 31822, 00007C4E, 0, 0, 0, 0, 7, C, 4, E 
847, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
848, 1073773843, 40007D13, 4, 0, 0, 0, 7, D, 1, 3 
849, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
850, 32012, 00007D0C, 0, 0, 0, 0, 7, D, 0, C 
851, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
852, -2147451644, 80007D04, 8, 0, 0, 0, 7, D, 0, 4 
853, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
854, 536902908, 20007CFC, 2, 0, 0, 0, 7, C, F, C 
855, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
856, 1073773722, 40007C9A, 4, 0, 0, 0, 7, C, 9, A 
857, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
858, -1073709916, C0007CA4, C, 0, 0, 0, 7, C, A, 4 
859, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
860, -1073709903, C0007CB1, C, 0, 0, 0, 7, C, B, 1 
861, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
862, -1610580803, A0007CBD, A, 0, 0, 0, 7, C, B, D 
863, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
864, 1073773580, 40007C0C, 4, 0, 0, 0, 7, C, 0, C 
865, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
866, 31756, 00007C0C, 0, 0, 0, 0, 7, C, 0, C 
867, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
868, -1610580978, A0007C0E, A, 0, 0, 0, 7, C, 0, E 
869, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
870, -1073709949, C0007C83, C, 0, 0, 0, 7, C, 8, 3 
871, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
872, 1073773692, 40007C7C, 4, 0, 0, 0, 7, C, 7, C 
873, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
874, 1610644597, 60007C75, 6, 0, 0, 0, 7, C, 7, 5 
875, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
876, -1073709970, C0007C6E, C, 0, 0, 0, 7, C, 6, E 
877, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
878, -536838889, E0007D17, E, 0, 0, 0, 7, D, 1, 7 
879, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
880, 1073773850, 40007D1A, 4, 0, 0, 0, 7, D, 1, A 
881, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
882, -1610580710, A0007D1A, A, 0, 0, 0, 7, D, 1, A 
883, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
884, 32024, 00007D18, 0, 0, 0, 0, 7, D, 1, 8 
885, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
886, 536902772, 20007C74, 2, 0, 0, 0, 7, C, 7, 4 
887, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
888, 1610644608, 60007C80, 6, 0, 0, 0, 7, C, 8, 0 
889, 0, 00000000, 0, 0, 0, 0, 0, 0, 0, 0 
890, 536902795, 20007C8B, 2, 0, 0, 0, 7, C, 8, B 
