 3, 4 
1846, 32060, 00007D3C, 0, 0, 0, 0, 7, D, 3, C 
1848, 1610644802, 60007D42, 6, 0, 0, 0, 7, D, 4, 2 
1850, 1610644807, 60007D47, 6, 0, 0, 0, 7, D, 4, 7 
1852, 536902986, 20007D4A, 2, 0, 0, 0, 7, D, 4, A 
1854, 1610644810, 60007D4A, 6, 0, 0, 0, 7, D, 4, A 
1856, 1610644592, 60007C70, 6, 0, 0, 0, 7, C, 7, 0 
1858, 1610644606, 60007C7E, 6, 0, 0, 0, 7, C, 7, E 
1860, 1073773707, 40007C8B, 4, 0, 0, 0, 7, C, 8, B 
1862, 536902807, 20007C97, 2, 0, 0, 0, 7, C, 9, 7 
1864, -1073709919, C0007CA1, C, 0, 0, 0, 7, C, A, 1 
1866, 31916, 00007CAC, 0, 0, 0, 0, 7, C, A, C 
1868, -2147451721, 80007CB7, 8, 0, 0, 0, 7, C, B, 7 
1870, -2147451925, 80007BEB, 8, 0, 0, 0, 7, B, E, B 
1872, 1073773546, 40007BEA, 4, 0, 0, 0, 7, B, E, A 
1874, -1073710103, C0007BE9, C, 0, 0, 0, 7, B, E, 9 
1876, 536902635, 20007BEB, 2, 0, 0, 0, 7, B, E, B 
1878, -1610581007, A0007BF1, A, 0, 0, 0, 7, B, F, 1 
1880, 1073773562, 40007BFA, 4, 0, 0, 0, 7, B, F, A 
1882, -1073710079, C0007C01, C, 0, 0, 0, 7, C, 0, 1 
1884, 536902771, 20007C73, 2, 0, 0, 0, 7, C, 7, 3 
1886, -536839064, E0007C68, E, 0, 0, 0, 7, C, 6, 8 
1888, -536839076, E0007C5C, E, 0, 0, 0, 7, C, 5, C 
1890, -1073710000, C0007C50, C, 0, 0, 0, 7, C, 5, 0 
1892, -1610580922, A0007C46, A, 0, 0, 0, 7, C, 4, 6 
1894, -536839109, E0007C3B, E, 0, 0, 0, 7, C, 3, B 
1896, -1073710030, C0007C32, C, 0, 0, 0, 7, C, 3, 2 
1898, 536902958, 20007D2E, 2, 0, 0, 0, 7, D, 2, E 
1900, -536838879, E0007D21, E, 0, 0, 0, 7, D, 2, 1 
1902, -1610580713, A0007D17, A, 0, 0, 0, 7, D, 1, 7 
1904, 1073773839, 40007D0F, 4, 0, 0, 0, 7, D, 0, F 
