
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1749,FFFFF92B,0.00000
3,1,32.03203,-1749,FFFFF92B,1535.25158
5,2,64.06406,-1751,FFFFF929,1518.74865
7,3,96.09609,-1761,FFFFF91F,1361.47814
9,4,128.12812,-1762,FFFFF91E,1412.48535
11,5,160.16015,-1762,FFFFF91E,1137.43591
13,6,192.19219,-1762,FFFFF91E,1487.10803
15,7,224.22422,-1762,FFFFF91E,9715.15625
17,8,256.25625,-1761,FFFFF91F,2670.25732
19,9,288.28829,-1761,FFFFF91F,2178.61254
21,10,320.32031,-1762,FFFFF91E,1958.75085
23,11,352.35235,-1762,FFFFF91E,1913.35070
25,12,384.38439,-1763,FFFFF91D,1901.52294
27,13,416.41641,-1762,FFFFF91E,1679.71569
29,14,448.44845,-1761,FFFFF91F,1737.92565
31,15,480.48046,-1761,FFFFF91F,1844.44653
33,16,512.51251,-1761,FFFFF91F,1825.65393
35,17,544.54455,-1761,FFFFF91F,1730.20764
37,18,576.57659,-1761,FFFFF91F,1767.90563
39,19,608.60858,-1760,FFFFF920,1766.05468
41,20,640.64062,-1758,FFFFF922,1886.34509
43,21,672.67266,-1758,FFFFF922,1667.95202
45,22,704.70471,-1758,FFFFF922,1682.14514
47,23,736.73675,-1757,FFFFF923,1672.39855
49,24,768.76879,-1757,FFFFF923,1741.44567
51,25,800.80078,-1756,FFFFF924,1734.64184
53,26,832.83282,-1755,FFFFF925,1679.15332
55,27,864.86486,-1755,FFFFF925,1742.06945
57,28,896.89691,-1755,FFFFF925,1707.84765
59,29,928.92895,-1754,FFFFF926,1745.55590
61,30,960.96093,-1753,FFFFF927,1754.26501
63,31,992.99298,-1752,FFFFF928,1714.22839
65,32,1025.02502,-1751,FFFFF929,1723.51049
67,33,1057.05700,-1752,FFFFF928,1760.00048
69,34,1089.08911,-1751,FFFFF929,1717.03564
71,35,1121.12109,-1750,FFFFF92A,1713.33508
73,36,1153.15319,-1750,FFFFF92A,1705.44616
75,37,1185.18518,-1749,FFFFF92B,1742.98193
