
AMiRo LightRing 1.0
Bootloader 1.1.1
ChibiOS 2.6.8
Board ID: 36

starting robot 
before init 
init 
start I2S -> sleep 1s 
before start DMA 
sleep 1s k:0 j:0 

ChibiOS/RT Shell
ch> sleep 2s k:1 j:0 
sleep 3s k:2 j:0 
sleep 4s k:3 j:0 
sleep 5s k:4 j:0 
sleep 6s k:5 j:0 
sleep 7s k:6 j:0 
sleep 8s k:7 j:0 
sleep 9s k:0 j:1 
sleep 10s k:1 j:1 
sleep 11s k:2 j:1 
sleep 12s k:3 j:1 
sleep 13s k:4 j:1 
sleep 14s k:5 j:1 
sleep 15s k:6 j:1 
sleep 16s k:7 j:1 
sleep 17s k:0 j:2 
sleep 18s k:1 j:2 
sleep 19s k:2 j:2 
sleep 20s k:3 j:2 
sleep 21s k:4 j:2 
sleep 22s k:5 j:2 
sleep 23s k:6 j:2 
sleep 24s k:7 j:2 
sleep 25s k:0 j:3 
sleep 26s k:1 j:3 
sleep 27s k:2 j:3 
sleep 28s k:3 j:3 
sleep 29s k:4 j:3 
sleep 30s k:5 j:3 
sleep 31s k:6 j:3 
sleep 32s k:7 j:3 
sleep 33s k:0 j:4 
sleep 34s k:1 j:4 
sleep 35s k:2 j:4 
sleep 36s k:3 j:4 
sleep 37s k:4 j:4 
sleep 38s k:5 j:4 
sleep 39s k:6 j:4 
sleep 40s k:7 j:4 
sleep 41s k:0 j:5 
sleep 42s k:1 j:5 
sleep 43s k:2 j:5 
sleep 44s k:3 j:5 
sleep 45s k:4 j:5 
sleep 46s k:5 j:5 
sleep 47s k:6 j:5 
sleep 48s k:7 j:5 
sleep 49s k:0 j:6 
sleep 50s k:1 j:6 
sleep 51s k:2 j:6 
sleep 52s k:3 j:6 
sleep 53s k:4 j:6 
sleep 54s k:5 j:6 
sleep 55s k:6 j:6 
sleep 56s k:7 j:6 
before stop DMA 
stop DMA -> sleep 1s 
before stop I2S 
stop I2S -> 1s 
Cycle 0
i, k, frequency, d1, d1, i2s_fft_buf[k]
1,0,0.00000,-1770,FFFFF916,0.00000
3,1,32.03203,-1714,FFFFF94E,1556.57580
5,2,64.06406,-1809,FFFFF8EF,1738.50158
7,3,96.09609,-1739,FFFFF935,1798.08166
9,4,128.12812,-1747,FFFFF92D,1650.87072
11,5,160.16015,-1759,FFFFF921,1954.55688
13,6,192.19219,-1772,FFFFF914,1649.02868
15,7,224.22422,-1779,FFFFF90D,2490.44067
17,8,256.25625,-1774,FFFFF912,4638.12500
19,9,288.28829,-1760,FFFFF920,2063.35156
21,10,320.32031,-1738,FFFFF936,1314.79614
23,11,352.35235,-1716,FFFFF94C,2910.71386
25,12,384.38439,-1706,FFFFF956,1861.80175
27,13,416.41641,-1712,FFFFF950,1496.74975
29,14,448.44845,-1730,FFFFF93E,3284.97167
31,15,480.48046,-1752,FFFFF928,1768.50549
33,16,512.51251,-1772,FFFFF914,3607.08032
35,17,544.54455,-1786,FFFFF906,1188.21350
37,18,576.57659,-1787,FFFFF905,1763.96459
39,19,608.60858,-1776,FFFFF910,1969.41406
41,20,640.64062,-1762,FFFFF91E,1644.84973
43,21,672.67266,-1747,FFFFF92D,1914.64892
45,22,704.70471,-1735,FFFFF939,1170.77966
47,23,736.73675,-1724,FFFFF944,1542.71496
49,24,768.76879,-1717,FFFFF94B,1169.81347
51,25,800.80078,-1716,FFFFF94C,1139.98339
53,26,832.83282,-1722,FFFFF946,2231.72509
55,27,864.86486,-1734,FFFFF93A,1760.52832
57,28,896.89691,-1749,FFFFF92B,2332.53320
59,29,928.92895,-1759,FFFFF921,1096.72790
61,30,960.96093,-1760,FFFFF920,1688.70214
63,31,992.99298,-1751,FFFFF929,1860.51965
65,32,1025.02502,-1734,FFFFF93A,221.70285
67,33,1057.05700,-1719,FFFFF949,1693.53967
69,34,1089.08911,-1715,FFFFF94D,1993.60778
71,35,1121.12109,-1719,FFFFF949,1887.53381
73,36,1153.15319,-1726,FFFFF942,1419.98754
75,37,1185.18518,-1733,FFFFF93B,2216.54199
